full_model,kernel_family,n_lipids,r2_full_median,r2_best_single_median,d_r2_mean,d_r2_median,r2_win_rate,d_corr_mean,d_corr_median,corr_win_rate
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4039755884418921,0.36592746273900156,0.029196150135934906,0.03804812570289051,0.8,0.034980129755294444,0.031014809942107813,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40395725633382024,0.36592746273900156,0.02800028280657816,0.03802979359481867,0.8,0.036646045211405506,0.037475869238967174,1.0
[full] SPECTRAL-5-8-K6000-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4034258470809877,0.36592746273900156,0.0230927255341361,0.03749838434198616,0.8,0.03310330098681766,0.029202818266631847,1.0
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4031832725678153,0.36592746273900156,0.02809896842991223,0.03725580982881371,0.8,0.0354020474426401,0.032922047344034144,1.0
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),5,0.40239933287886764,0.36592746273900156,0.023237522570238766,0.03647187013986608,0.8,0.029608568939784353,0.028049066918770293,1.0
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4021598253225263,0.36592746273900156,0.026444649808424592,0.036232362583524746,0.8,0.03488532484020778,0.03526564972661214,1.0
[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4018514624425171,0.36592746273900156,0.0231370464358157,0.03592399970351556,0.8,0.03485092022236137,0.036980707000649926,1.0
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),5,0.40166638580849945,0.36592746273900156,0.02708330115474116,0.035738923069497885,0.8,0.03350888993547334,0.031746219814676624,1.0
[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40161467491268804,0.36592746273900156,0.021456023555358066,0.03568721217368648,0.8,0.03330854570013979,0.03161189225487415,1.0
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.4013010490296227,0.36592746273900156,0.022693024352861208,0.03537358629062115,0.8,0.033150857829819094,0.03307241868969257,1.0
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40091525964667096,0.36592746273900156,0.027731132843914662,0.0349877969076694,0.8,0.03790138064761085,0.04011384963152584,1.0
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.40073621505795815,0.36592746273900156,0.02636324260698695,0.03480875231895658,0.8,0.03487541162196368,0.0372661447079313,1.0
[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.39984617994973426,0.36592746273900156,0.027685226682862572,0.033918717210732696,0.8,0.035974761858262205,0.03547642953113994,1.0
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),5,0.39970545264094803,0.36592746273900156,0.026136784002254644,0.03377798990194647,0.8,0.033494161305663586,0.03366522747451095,1.0
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),5,0.3986270420690614,0.36592746273900156,0.02366671042494215,0.03269957933005985,0.8,0.031724117932374445,0.02998156666713092,1.0
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),5,0.3929183235935848,0.36592746273900156,0.02089859358790183,0.026990860854583243,0.8,0.028942033266476114,0.027599840553351962,1.0
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),5,0.38660302492643334,0.36592746273900156,0.0013435406719999933,0.020675562187431773,0.6,0.022477163615848346,0.0244833079134269,1.0
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),5,0.38333320262989573,0.36592746273900156,0.002742466311717584,0.017405739890894167,0.6,0.020747137392230913,0.022878053878030546,1.0
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-prodard2.5-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),5,0.3814235677428882,0.36592746273900156,-0.0010416278992824324,0.015496105003886651,0.6,0.024140765943830363,0.025799866282505968,1.0
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),5,0.37979041303161504,0.36592746273900156,0.0021087846492103533,0.013862950292613474,0.6,0.0194735682690443,0.018908805043115984,1.0
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-prodard2.5-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),5,0.37541861416214317,0.36592746273900156,-0.006145134647532205,0.009491151423141608,0.6,0.020504775047097253,0.02137839346779591,1.0
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-prodard2.5-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),5,0.37193823205602444,0.36592746273900156,-0.004100209793070514,0.006010769317022879,0.6,0.019379256737822443,0.02134674139862347,1.0
