lipid,model,kernel_family,n_folds,n_runs,test_rmse_z_mean,test_rmse_z_median,test_rmse_z_min,test_rmse_z_max,test_corr_mean,test_corr_median,test_corr_min,test_corr_max,test_r2_mean,test_r2_median,test_r2_min,test_r2_max,mean_pred_std_z_mean,mean_pred_std_z_median,mean_pred_std_z_min,mean_pred_std_z_max,fit_sec_mean,fit_sec_median,fit_sec_min,fit_sec_max
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5754162936348367,0.5798524078942422,0.525342711332272,0.6311693174303162,0.8200425661748303,0.8169747793592443,0.7848909699430621,0.8511589292315259,0.667401048746874,0.6636367254823743,0.6016252927345487,0.7240150356500572,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5803641878784007,0.5806239973828035,0.5236837011062156,0.6544425496223711,0.8174118422291969,0.8170223180465485,0.7714582386212189,0.8525951461867606,0.6609022738273752,0.6628752015290447,0.5717049492437702,0.7257553811956958,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5752667600522594,0.5806597923357673,0.5260519923387192,0.637479302659197,0.8209856454909319,0.8167025621324363,0.784751870076072,0.8524177003639145,0.6673514677928869,0.6628338188793532,0.5936201386811439,0.7232693013564641,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5753145391532929,0.5806969407697614,0.5186098551681615,0.64600557379379,0.8217492734549248,0.8169085188846181,0.7837406653124271,0.8555454150141212,0.6669474109117435,0.6627907798869086,0.5826767986273562,0.7310438181224586,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5736321868966736,0.5811861592788385,0.5233608275944872,0.6334558180096383,0.8215560387366453,0.8157324285610124,0.784755315674596,0.8532233960666323,0.6692229603431097,0.6622215461953235,0.5987337266297399,0.7260934441396134,,,,,,,,
Hex2Cer 40:1;O2,[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),8,8,0.5784014422181106,0.5814555414691135,0.5263742367070258,0.6552779407847723,0.8185037203353036,0.8161883401917762,0.771486112320992,0.851740428520581,0.6633986716495531,0.6619093654481627,0.5706108203208684,0.722930162931096,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-prodard2.5-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5854318309203115,0.5842083511274986,0.5274773579071645,0.6669095662511318,0.8150620593600484,0.8162343979219921,0.7667792742994812,0.8500541489368634,0.6551793341972776,0.6585580304390632,0.5552316304427272,0.721767636895277,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.582382017438155,0.5858703360489002,0.5338672946530992,0.6350738319024074,0.8165185580754094,0.8149178395529131,0.7828022846252068,0.8473948488836872,0.6594347318682202,0.656605027135676,0.5966812280327928,0.714985711699781,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5867642508979181,0.5861149872177279,0.5322338200541686,0.6533502547260219,0.8133941126398476,0.8133125855175167,0.7740687858461214,0.848411112299402,0.6537766168930036,0.6562375390402412,0.5731334446494423,0.7167271607905469,,,,,,,,
Hex2Cer 40:1;O2,[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-prodard2.5-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),8,8,0.5877453938339319,0.5876166577523181,0.5277676279476942,0.6612791246280605,0.8120964080274915,0.811856207179515,0.763272464074749,0.8515478280755302,0.6524533888038153,0.6544788339813243,0.5627099193311461,0.7214613308904643,,,,,,,,
