run,fold,kernel_family,failed,n_lipids,wall_time_sec,test_rmse_z_mean,test_rmse_z_median,test_corr_mean,test_corr_median,test_r2_mean,test_r2_median,mean_pred_std_z_mean,mean_pred_std_z_median,fit_sec_mean,fit_sec_median
FOLD-2-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_2,manifold,False,5,6808.036473989487,0.7484702706336975,0.7627882957458496,0.5607061968483413,0.6306128516168904,0.3412961803404674,0.389526132942369,0.7769602417945862,0.7695135474205017,1356.6869432926178,1356.6869432926178
FOLD-2-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn310,fold_2,manifold,False,5,6695.159382343292,0.7533080697059631,0.773836076259613,0.554235071058339,0.6155935156638876,0.33422256090855473,0.3717145165731629,0.777295184135437,0.7726253867149353,1333.760110616684,1333.760110616684
FOLD-2-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.910,fold_2,manifold,False,5,3201.771473169327,0.7478471159934997,0.7633033394813538,0.5607078353350863,0.6297576531304279,0.3421235036381659,0.3887013922242593,0.7721341848373413,0.7631996870040894,637.4219576835633,637.4219576835633
FOLD-2-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9510,fold_2,manifold,False,5,3235.6035811901093,0.7485462665557862,0.7634896039962769,0.5603181614053095,0.6302717521966308,0.3412706364768604,0.3884030322465924,0.775771963596344,0.7680650949478149,644.0910947322845,644.0910947322845
FOLD-2-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9710,fold_2,manifold,False,5,3174.7459106445312,0.7481759786605835,0.7628927230834961,0.5611320610398272,0.6306091051398289,0.34203871793258894,0.3893589654443841,0.7768696188926697,0.7694246768951416,632.1774259567261,632.1774259567261
FOLD-2-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn310,fold_2,manifold,False,5,3215.7619259357452,0.7534168004989624,0.7741211652755737,0.5540279103743225,0.6155405104892883,0.33415778056549134,0.3712514500751314,0.777295982837677,0.7720581889152527,640.0296266555786,640.0296266555786
FOLD-2-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_2,manifold,False,5,5502.167977333069,0.7741818785667419,0.7772889733314514,0.524767624237947,0.5811178558995312,0.3040771551623115,0.3311870476331615,0.8085627555847168,0.8073014616966248,1096.5149854183196,1096.5149854183196
FOLD-2-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_2,manifold,False,5,5225.867555856705,0.7790646195411682,0.7843735218048096,0.5189391689848363,0.5762819929714661,0.2966302828809824,0.3265099372933953,0.8157312870025635,0.8152545690536499,1041.7542363643647,1041.7542363643647
FOLD-2-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_2,manifold,False,5,6572.411125659943,0.7807081818580628,0.7880057692527771,0.5168909471362613,0.5748813690737313,0.2947623175021832,0.3259749207587579,0.8215344429016114,0.8232207894325256,1308.2421135425568,1308.2421135425568
FOLD-2-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn310,fold_2,manifold,False,5,7586.929323911667,0.7814342141151428,0.7835275530815125,0.5125329283148978,0.563219416358915,0.29211703708107534,0.3110817106318081,0.8159657001495362,0.8193256258964539,1512.3317501068116,1512.3317501068116
FOLD-2-learnls-manifold-nu2-K300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.910,fold_2,manifold,False,5,5308.8806982040405,0.7741335272789002,0.777155339717865,0.5243100426005212,0.5812157940477704,0.3041824402405789,0.3312011423231682,0.8081905245780945,0.806706964969635,1058.5428970336914,1058.5428970336914
