model,kernel_family,is_full,n_lipids,n_folds,n_runs,test_r2_mean,test_r2_median,test_corr_mean,test_corr_median,test_rmse_z_mean,test_rmse_z_median
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3659449996793101,0.40260297097506326,0.5856400949305263,0.6502641469486587,0.7817060825888145,0.7729052040252942
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.36128641222284735,0.40239933287886764,0.5824582357377601,0.6406553297511829,0.7844803038845399,0.7730451600067427
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3640389299924232,0.4020363486304519,0.5848784798116167,0.6463371789835928,0.7830395456367111,0.7732804020440982
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.3621751385272418,0.40166638580849945,0.5846287825547369,0.6449600938511413,0.7837345992104108,0.773518029730299
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3624535796426894,0.4013010490296227,0.5847902498593961,0.6457723730888789,0.783988940539666,0.7737561065173825
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3635799624413741,0.39970545264094803,0.5855700794947968,0.6437759459930315,0.7831677400107218,0.7747865760840895
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36315953998492556,0.39964020242347986,0.5850139700205327,0.6409456426651887,0.7838279719298926,0.774828882586434
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3634413476423891,0.3993382877521847,0.5845723139239087,0.6500583671497178,0.7835433102144418,0.7750236101691941
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3644113375120117,0.3977123286512989,0.5846216106303627,0.6500193278298663,0.7828409930967849,0.776071947772287
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3637132551321883,0.39556980155822796,0.5833776812746841,0.6461275416433478,0.7835911004365744,0.7774460660988136
[full] SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36346157954386565,0.3950470792607257,0.5838125307202423,0.6482418889294908,0.7837803941280598,0.7777793443071284
