lipid,model,family,n_folds,n_runs,r2_mean,r2_median,r2_min,r2_max,corr_mean,corr_median,corr_min,corr_max,rmse_mean,rmse_median,rmse_min,rmse_max,mae_mean,mae_median,mae_min,mae_max
PS 42:9,MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,manifold,8,8,0.35032152814115947,0.3400485300697192,0.3039153455899758,0.4473697832258817,0.6057798631908503,0.5942357831443409,0.5717550226096476,0.6732815350657256,0.00013127637503647501,0.0001311875185963,0.0001247679443754,0.0001424212406922,9.807357622919037e-05,9.820380620646034e-05,9.295263014499356e-05,0.0001066373770711
PS 42:9,LGPALL-RSAMPLE-5-reference-2000-1000-learnind-ard10,lgp,8,8,0.34395956940359745,0.3397920735410102,0.2775624199469617,0.4408211131758759,0.605238708824073,0.5977416160007043,0.5642217847748159,0.6661637906534165,0.0001318596322338625,0.00013179576812095,0.0001259346618475,0.0001415109996722,9.809230901473436e-05,9.750741870492854e-05,9.343178302371616e-05,0.0001055366414583
PS 42:9,ZW01-NONE-SOTA-SPA3D-409610,sota,8,8,0.3310557125263924,0.33909730324002135,0.2213172698770036,0.430369141433809,0.5851415016222035,0.5847739719078497,0.5130515569064346,0.6572629241793545,0.00013307754304105,0.0001323863726033,0.0001271061758801,0.0001430584362237,0.00010154538473902694,0.0001016897110856,9.661732493864117e-05,0.0001091981758303
PS 42:9,NM1300-BASELINES-MLP_EIGEN-256-rootdissolve-dn3-prune0.9710,baseline,8,8,0.3331455128912846,0.3387338889182715,0.2444577745967201,0.4448220828512772,0.6020859900715632,0.586992861053725,0.555478552905966,0.6704023720567825,0.0001328372674922,0.0001330544536699,0.0001254833169914,0.0001402108036004,9.90715629272608e-05,9.917575472366351e-05,9.302024686955114e-05,0.0001047961622549
PS 42:9,MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,manifold,8,8,0.3539503339121082,0.3373713266483427,0.3037889546814939,0.4581184959758664,0.6078037324362412,0.5988730046724899,0.5727040274649198,0.6809493259334127,0.000130881361807175,0.00013020612525475,0.0001239715586711,0.0001411400570723,9.776671272812803e-05,9.778055837171291e-05,9.221891139672882e-05,0.0001055637185685
PS 42:9,LGPALL-MEAN-5-reference-2000-1000-learnind-ard10_log,lgp,8,8,0.33927912107103786,0.3362013927913792,0.2766859102737014,0.3937282841894971,0.6236140210880581,0.6335856712124449,0.5899404350199355,0.6605056909324541,0.0001325815336648875,0.00013178253716175002,0.0001239707615421,0.0001515617918256,9.578893896785276e-05,9.466760197040544e-05,9.041953052804596e-05,0.0001108876393764
PS 42:9,LGPALL-MEAN-5-data-2000-1000-learnind-ard10_log,lgp,8,8,0.33460016565395667,0.33460670710578067,0.2507747488313475,0.3895961967526743,0.6234272151445401,0.6277864211799102,0.5903635675387978,0.6650169391257544,0.00013305356818585001,0.0001325663810921,0.0001242013904499,0.0001542525923796,9.621324272100117e-05,9.520335216752968e-05,9.0633890381075e-05,0.0001124947426064
PS 42:9,EUCLIDEAN-GPLFR-euclidean-d810,gplfr,8,8,0.33012295008613496,0.3321939678428411,0.2256365543212947,0.426318043561171,0.5879448467915894,0.5837173078558353,0.5118174410003092,0.6563555631893706,0.00013320004991131248,0.00013253641462930002,0.0001275573514242,0.0001433592232211,0.00010340319675913156,0.00010339897323695,9.84679516046525e-05,0.0001107323988569
PS 42:9,LGPALL-RSAMPLE-5-data-2000-1000-learnind-ard10,lgp,8,8,0.338803364639501,0.330285300628847,0.2764493663767754,0.4447372634770884,0.601592086105984,0.5861488767215556,0.5678351903726503,0.6715529702137757,0.000132367976262575,0.00013302217716780002,0.0001254929019792,0.0001417519558565,9.828875227289195e-05,9.841960555132402e-05,9.313103536056032e-05,0.0001060897830148
PS 42:9,ZW03-ALFT-SOTA-SPA3D-409610,sota,8,8,0.328015746160137,0.32616347703450765,0.2795287705115973,0.4040093455933966,0.5846828401478903,0.5773344008812109,0.5308868133658518,0.6572457539070761,0.0001335469507283875,0.00013280352335705,0.0001269346858854,0.0001447201422551,0.00010225181557929841,0.00010175912266604999,9.829865994908176e-05,0.0001110294785358
PS 42:9,LGPALL-RSAMPLE-5-data-2000-1000-learnind-ard10_log,lgp,8,8,0.32320368704041524,0.3227416848484168,0.2421930156020573,0.407872422759978,0.5984174010709835,0.5942518104480785,0.5458948038515543,0.669183667826437,0.0001340216112676375,0.00013216541981725,0.0001290804652186,0.0001496396509202,9.694948165595821e-05,9.592098334544278e-05,9.347925837726994e-05,0.0001091379225341
PS 42:9,LGPALL-RSAMPLE-5-reference-2000-1000-learnind-ard10_log,lgp,8,8,0.3224615883694465,0.3226756430359692,0.2731923149329589,0.4215990838655807,0.5969036858448558,0.5862719180398266,0.5478431936843017,0.6791156676950948,0.0001341171571067875,0.00013195708051035,0.0001274916488085,0.0001496136498616,9.703194091892348e-05,9.55732150357914e-05,9.243119714684306e-05,0.0001091528795146
PS 42:9,BASELINES-XGBOOST-25610,baseline,8,8,0.30969437962581176,0.32176334994049927,0.1992975298614537,0.4053394322101655,0.5701215989022008,0.5693423365041406,0.486313937147686,0.6416376949607715,0.00013517028493675,0.0001339246519146,0.0001298686928128,0.000143576665148,0.00010374940947381544,0.00010419488792475,9.967799071592348e-05,0.0001094747522001
