fold,family,n_runs,n_lipids,r2_mean,r2_median,corr_mean,corr_median,rmse_mean,rmse_median,mae_mean,mae_median
FOLD-6,gplfr,3,519,0.30682245291380145,0.3150229761041143,0.54618899521245,0.5702205371434064,0.0006185799798490063,0.0001952789241545,0.00046399227139958606,0.0001452494497978
FOLD-6,baseline,8,1384,0.2864285188151758,0.2977491486517828,-inf,0.5745826412447866,0.0006241356362008691,0.00020547923028925002,0.00046977528595060783,0.00015336659602055002
FOLD-6,sota,11,1903,0.16029138012537944,0.279046613263835,0.5338003139167303,0.5640860199614649,0.0006656195937130841,0.0002133466823767,0.0004957838886916649,0.0001560818123956
FOLD-6,sota-deepspatial,3,519,-258.4962628912824,-2.3029312807434024,0.09358098945173246,0.06471662794888924,0.0015611857995782887,0.0005588858164057,0.0012343342330794402,0.0004427393527594
FOLD-7,spectral,34,5882,0.3495931788113293,0.3389641796668406,0.5903731363731645,0.5954467475127143,0.0006316242415832046,0.00019571393831755,0.00045916116631282997,0.00013908057800065
FOLD-7,manifold,19,3287,0.33696012851733365,0.3253290857617743,0.5816796946278612,0.5859971867225094,0.0006368705948923061,0.0001970218919079,0.0004616638223040436,0.0001399080974024
FOLD-7,lgp,8,1384,0.31091362283621227,0.31053745753075424,0.5775665385533554,0.584394275424758,0.0006511613732655081,0.00020275127174975,0.00046677363091544014,0.00014108703325575001
FOLD-7,gplfr,3,519,0.2733604389489672,0.2695657639515473,0.518008015845129,0.5277069669011406,0.0006636358894615808,0.0002091180720565,0.0004959741622960763,0.0001500560119881
FOLD-7,baseline,8,1384,0.24718718453037214,0.2503959742178694,0.4866028818403936,0.5327123369158063,0.0006758906591084754,0.00021732545606905002,0.0005048865238632052,0.00015554088782825
FOLD-7,sota,11,1903,0.12242131370750989,0.244061344077361,0.502844910434623,0.531807293772782,0.0007137597829532301,0.0002273661701321,0.0005293588785973674,0.0001614132027163
FOLD-7,sota-deepspatial,3,519,-11.88072285688061,-0.3023012791264332,0.21121653428428533,0.2074024005915798,0.0007846453576905477,0.0004057097593365,0.0005590947759349403,0.0002935398730057
FOLD-8,lgp,8,1384,0.2758893008368627,0.27181274294952973,0.5472476037671518,0.5497068102985238,0.0006530826122251573,0.00020391668084810002,0.0004762443661862486,0.00014986742914245
FOLD-8,manifold,19,3287,0.28616243769774724,0.2708702559783034,0.5511785755861546,0.5522927096694183,0.000650560731610996,0.0002011707552154,0.0004773082438226295,0.0001525209799588
FOLD-8,spectral,34,5882,0.28604479544097616,0.26937969721475363,0.5526086529667277,0.5517324195859936,0.0006510001349088767,0.00020416806704465,0.00048124503269032033,0.00015314434406559998
FOLD-8,gplfr,3,519,0.2268507792549613,0.2194782683768237,0.48347369700362514,0.4926347628748773,0.0006754414176550765,0.0002225843798532,0.0005090205382402223,0.0001568518156321
FOLD-8,sota,11,1903,0.06936392378202746,0.2004857402237604,0.4770946069256987,0.5052009478554523,0.000726997591030279,0.0002326783113093,0.0005481502672753534,0.0001723140896198
FOLD-8,baseline,8,1384,0.11702038190713519,0.13160870270624103,inf,0.46427262315922746,0.0007136487144252195,0.0002316639526892,0.0005246187050760615,0.0001666484797732
FOLD-8,sota-deepspatial,3,519,-4.371281164945035,-1.1971060827632818,0.1274133425546959,0.1132225660992108,0.0008505818928945012,0.00039543237153,0.0006329854056820535,0.0002904780387273
